element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,opponent_strength,oppoenet_attack,opponent_defense,form,preround_total_points,transfers_reduced,average_points,preround_influence,preround_creativity,preround_threat,preround_ict
326,4,5,8,False,2023-08-12T14:00:00Z,4,1,1,90,1,0,0,4,0,0,0,0,0,0,2,28,37.8,3.3,50.0,9.1,1,1.05,0.09,1.14,4.10,55,0,106504,0,0,1165,1120,1200,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
326,26,7,2,False,2023-08-25T19:00:00Z,3,0,3,90,0,0,0,3,0,0,0,0,0,0,0,6,3.2,13.1,12.0,2.8,1,0.16,0.15,0.31,2.09,55,6396,135030,21274,14878,1115,1130,1210,1.0,1,0.047367251721839594,0.5,1.5,0.05,0.05,0.25
326,38,19,5,True,2023-09-01T19:00:00Z,1,2,4,90,0,1,0,2,0,0,0,0,0,0,0,21,22.4,14.3,16.0,5.3,1,0.15,0.13,0.28,1.06,55,-1009,135852,17879,18888,1140,1150,1130,1.0,2,-0.0074272001884403615,0.6666666666666666,6.0,6.933333333333334,6.933333333333334,1.4333333333333333
328,4,5,1,False,2023-08-12T14:00:00Z,4,1,1,14,0,0,0,2,0,0,0,0,0,0,0,3,0.4,0.3,4.0,0.5,0,0.00,0.00,0.00,1.76,50,0,14400,0,0,1165,1120,1200,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
328,26,7,1,False,2023-08-25T19:00:00Z,3,0,3,13,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.08,50,-1504,12911,298,1802,1115,1130,1210,0.0,0,-0.11648981488653086,0.0,0.0,0.0,0.0,0.0
328,38,19,1,True,2023-09-01T19:00:00Z,1,2,4,12,0,0,0,1,0,0,0,0,0,0,0,4,3.4,1.0,9.0,1.3,0,0.03,0.02,0.05,0.20,49,-1096,12219,347,1443,1140,1150,1130,1.0,1,-0.08969637449873148,0.5,2.1,5.5,5.5,0.75
340,4,5,1,False,2023-08-12T14:00:00Z,4,1,1,2,0,0,0,1,0,0,0,0,0,0,0,7,7.0,20.5,4.0,3.2,0,0.00,0.37,0.37,1.22,45,0,62980,0,0,1165,1120,1200,1.0,2,0.0,0.6666666666666666,1.8666666666666665,8.5,8.5,1.4000000000000001
340,38,19,1,True,2023-09-01T19:00:00Z,1,2,4,6,0,0,0,1,0,0,0,0,0,0,0,3,2.4,11.9,2.0,1.6,0,0.00,0.02,0.02,0.20,45,-6337,63544,1107,7444,1140,1150,1130,0.0,0,-0.09972617398967644,0.0,0.0,0.0,0.0,0.0
553,4,5,0,False,2023-08-12T14:00:00Z,4,1,1,90,0,0,0,4,0,0,0,0,0,0,0,16,20.4,40.5,0.0,6.1,1,0.00,0.22,0.22,4.10,45,0,13932,0,0,1165,1120,1200,0.0,0,0.0,0.0,2.4,2.05,2.05,0.45
553,26,7,1,False,2023-08-25T19:00:00Z,3,0,3,90,0,0,0,3,0,0,0,0,0,0,0,10,9.2,21.8,17.0,4.8,1,0.06,0.04,0.10,2.09,45,-812,13425,477,1289,1115,1130,1210,-0.5,-1,-0.06048417132216015,-0.3333333333333333,6.133333333333333,5.2,5.2,1.1333333333333333
